,name,average_clustering_coef,average_shortest_path_lenght,centrality_betweeness,centrality_closeness,centrality_eigenvector,average_degree,diameter,modularity_greedy
0,chf215s,0.7650096142139605,5.307172700311709,0.00011600874542963889,0.19218823901597668,0.001152265067176616,7.630541341233504,11,69
0,chf220s,0.7504892454592367,5.563836736111884,0.00014804193383002453,0.18280886731877768,0,10.973662017515407,12,40
0,chf226s,0.7828067904274045,6.426160828956146,0.00017814053936164543,0.15826634286337293,0,8.37377716499245,16,26
0,chf225s,0.7582489098404637,5.2378299403328015,0.0001436552522146788,0.19440655651499433,0.001615284563300832,8.656226696495153,11,26
0,chf224s,0.7448301283115744,6.335620501484358,0.0001821093041224688,0.16057868873364706,0.0006645964030268233,8.255417903825808,13,26
0,chf223s,0.7878431666796658,4.963588854255313,0.00013918073088894077,0.20465336335596834,0.001498916139947937,8.458216292134832,11,42
0,chf228s,0.7586132278443811,5.214242446308737,0.0001472018738450066,0.19556176922363383,0.0016460872724962646,7.029373755719325,11,25
0,chf229s,0.7626318326844215,5.579593420804734,0.00015985177216674507,0.18263645628570457,0.001171480016435143,7.949530557397647,12,122
0,chf216s,0.7407310657751357,6.560985607854934,0.00021277110528983002,0.15504868872784375,0.000819982848713136,9.46468742826536,13,51
0,chf218s,0.7390509395656096,6.123603232742448,0.0001986893873945304,0.16602333824361448,0.0008789523300566413,8.40955446120439,13,19
0,chf227s,0.8017209136134529,5.963723968952205,0.00019401672799219006,0.17000094931674467,0,7.996795122332526,11,41
0,chf213s,0.7464707977122795,6.363847153666609,0.0002394681527597892,0.16003952337073343,0.002123405177367788,7.755725190839694,14,27
0,chf219s,0.7293867482634901,6.059650159458434,0.0002319131942732157,0.16841259445033135,0.0017053751161172155,9.069984875567167,14,35
0,chf217s,0.7486812625250878,7.351636404373706,0.0002911991749667029,0.1384227508923062,0,7.768588979554415,16,24
0,chf221s,0.7571058669149696,6.63027747545197,0.0002696751353315464,0.15325000913631748,0.000583400093066096,8.88419540229885,15,39
0,chf210s,0.7623047298710625,6.054629963635386,0.0001391425100788862,0.1679311684969929,0.0012636331326230394,7.926725205758485,12,22
0,chf214s,0.7677262643953703,6.439664988347571,0.00035791979131120455,0.15754869467475616,0,8.07671052631579,13,24
0,chf205s,0.7727654315593772,4.829364356264824,0.00010997600104149323,0.21108185208262642,0.0016830489510135363,8.069955775084717,10,25
0,chf209s,0.7721487447819164,5.03022165417447,0.00012236152819547784,0.20280645590470522,0.0014006477056134668,7.515589422872583,11,22
0,chf002s,0.7507367749041794,6.267624309077303,0.0001537992499000628,0.1621625589787658,0.0010472655541110482,6.191288099964965,13,36
0,chf006s,0.7889333027089258,7.227319932337778,0.00018874670179547937,0.14010876317425708,0,7.0974996211547206,13,44
0,chf004s,0.7690431354731525,6.006968910984265,0.0001598751168971326,0.16953013737269443,0.0012675760232334944,8.278735632183908,13,36
0,chf211s,0.746505765021015,6.765130884481895,0.00020089664022308223,0.15038823750733005,0.0006191924971666644,9.045262901146382,15,39
0,chf012s,0.7325523205085827,6.679796589032011,0.00020841760564480286,0.15222606429695157,0.0005136757553372222,9.035664489616202,14,39
0,chf015s,0.8012626837288531,5.9618893386576435,0.0001904609756893039,0.16963914059576576,0.00036958751216337605,9.062408843171873,11,39
0,chf013s,0.7534527574587621,5.688260458633766,0.00017513113405430696,0.17860783346353828,0.0018410151013573963,6.899447183624683,12,20
0,chf007s,0.8014495879300395,6.090137336998129,0.00019795968331188032,0.16618491626961115,0,8.227727007583123,12,41
0,chf011s,0.7378818771045761,6.083354479283796,0.00021653409777151286,0.16720481411670524,0.0015220622002729992,8.480790527302155,17,30
0,chf005s,0.7602019518984146,5.953277230821268,0.00021515408004609208,0.1708956663657625,0.0016087082510280648,7.684068797776233,13,24
0,chf204s,0.7780042003943717,6.056073822927914,0.0002225286661206841,0.16755025767334555,0,8.732825771244993,12,32
0,chf208s,0.7839930542218393,5.748106603633404,0.0002746793129488314,0.1770685193381165,0.0018158272791195683,7.387089310504396,12,39
0,chf201s,0.7410156951611996,5.879876992320759,0.0002671709275839527,0.17295990350327434,0.0008424552620303855,9.827119943066732,12,51
0,chf010s,0.7853861240802104,4.852824541369412,0.0002639282464289166,0.21068474941758164,0.0024220407684070566,8.911643835616438,10,81
0,chf001s,0.754793612418735,5.321734038244098,0.00031531694427580257,0.19115066811398165,0.002295174907308616,7.351327691858769,11,17
0,chf212s,0.7882379977190732,4.164370078740157,0.0251140482439695,0.24482993097133002,0.05115593212671703,6.75,9,7
0,chf207s,0.6847402597402596,3.463203463203463,0.12316017316017316,0.2964320841029105,0,3.727272727272727,6,4
0,chf202s,0.7704054481798829,6.313841143583522,0.0005872945560989922,0.16104979289212726,0,9.413480662983426,13,33
0,chf014s,0.7451782686275236,4.859313106533425,0.0004920710323260772,0.21015738560476144,0.003794890898099092,7.57144678138942,11,21
0,chf203s,0.7719411789233099,4.6006317124851215,0.0009507873547623664,0.2215894277799001,0.00770955008647262,8.835576669305885,11,12
0,chf008s,0.7437427704156476,3.905294526852355,0.0025351610181957728,0.2624900452350187,0.01353285197883745,9.602787456445993,9,13
